ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS
2017,9,GLO,SBRF,SBSP,"471,9",98
2017,9,GLO,SBRF,SBSP,"885,9",4
2017,9,GLO,SBRF,SBSP,"675,9",3
2017,9,GLO,SBRF,SBSP,"1237,9",32
2017,9,GLO,SBRF,SBSP,"845,28",1
2017,9,GLO,SBRF,SBSP,"552,9",25
2017,9,GLO,SBRF,SBSP,"647,9",8
2017,9,GLO,SBRF,SBSP,"681,9",2
2017,9,GLO,SBRF,SBSP,"297,84",3
2017,9,GLO,SBRF,SBSP,"319,9",248
2017,9,GLO,SBRF,SBSP,"308,9",134
2017,9,GLO,SBRF,SBSP,"970,9",21
2017,9,GLO,SBRF,SBSP,"275,9",311
2017,9,GLO,SBRF,SBSP,"1207,9",28
2017,9,GLO,SBRF,SBSP,"1062,9",8
2017,9,GLO,SBRF,SBSP,"635,9",106
2017,9,GLO,SBRF,SBSP,"520,9",11
2017,9,GLO,SBRF,SBSP,"446,9",3
2017,9,GLO,SBRF,SBSP,"389,9",1
2017,9,GLO,SBRF,SBSP,"485,9",41
2017,9,GLO,SBRF,SBSP,"794,9",30
2017,9,GLO,SBRF,SBSP,"569,9",1
2017,9,GLO,SBRF,SBSP,"534,9",8
2017,9,GLO,SBRF,SBSP,"1347,9",3
2017,9,GLO,SBRF,SBSP,"834,9",4
2017,9,GLO,SBRF,SBSP,"588,9",5
2017,9,GLO,SBRF,SBSP,"239,9",358
2017,9,GLO,SBRF,SBSP,"1298,9",50
2017,9,GLO,SBRF,SBSP,"317,9",113
2017,9,GLO,SBRF,SBSP,"687,9",2
2017,9,GLO,SBRF,SBSP,"683,9",3
2017,9,GLO,SBRF,SBSP,"419,9",5
2017,9,GLO,SBRF,SBSP,"864,9",5
2017,9,GLO,SBRF,SBSP,"1217,96",1
2017,9,GLO,SBRF,SBSP,"765,9",17
2017,9,GLO,SBRF,SBSP,"503,9",59
2017,9,GLO,SBRF,SBSP,249,2
2017,9,GLO,SBRF,SBSP,"599,9",4
2017,9,GLO,SBRF,SBSP,"59,1",1
2017,9,GLO,SBRF,SBSP,"815,9",5
2017,9,GLO,SBRF,SBSP,"619,9",2
2017,9,GLO,SBRF,SBSP,"379,9",123
2017,9,GLO,SBRF,SBSP,"668,9",1
2017,9,GLO,SBRF,SBSP,"801,9",1
2017,9,GLO,SBRF,SBSP,"1460,61",3
2017,9,GLO,SBRF,SBSP,"1457,9",2
2017,9,GLO,SBRF,SBSP,"759,9",2
2017,9,GLO,SBRF,SBSP,"459,9",252
2017,9,GLO,SBRF,SBSP,"454,9",1
2017,9,GLO,SBRF,SBSP,"665,9",104
2017,9,GLO,SBRF,SBSP,"915,9",3
2017,9,GLO,SBRF,SBSP,"830,9",17
2017,9,GLO,SBRF,SBSP,"443,9",2
2017,9,GLO,SBRF,SBSP,"235,9",2
2017,9,GLO,SBRF,SBSP,"422,9",5
